City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Parana,AR,2020-02-23 14:38:32,-31.73,-60.52,78.01,48,0,3.0
71,Severo-Kurilsk,RU,2020-02-23 14:40:03,50.68,156.12,22.28,96,100,43.2
72,Karasuk,RU,2020-02-23 14:40:04,53.74,78.04,15.24,94,69,1.28
73,Mananjary,MG,2020-02-23 14:40:04,-21.22,48.33,80.64,81,44,10.42
74,Karaton,ID,2020-02-23 14:40:04,-6.34,106.1,82.4,83,75,5.82
75,Morant Bay,JM,2020-02-23 14:40:05,17.88,-76.41,84.2,54,20,12.75
76,Guerrero Negro,MX,2020-02-23 14:40:05,27.98,-114.06,57.85,74,100,13.56
77,Castro,BR,2020-02-23 14:39:22,-24.79,-50.01,70.68,55,100,5.75
78,Slupsk,PL,2020-02-23 14:39:43,54.46,17.03,41.68,80,100,13.24
79,Tiksi,RU,2020-02-23 14:40:07,71.69,128.87,-11.78,88,100,6.89
80,Huarmey,PE,2020-02-23 14:40:08,-10.07,-78.15,81.9,47,62,6.67
81,Yaan,NG,2020-02-23 14:40:08,7.38,8.57,105.33,7,68,9.44
82,Fare,PF,2020-02-23 14:40:08,-16.7,-151.02,82.09,70,29,8.57
83,Blagoyevo,RU,2020-02-23 14:40:09,63.37,47.92,31.24,88,100,18.19
84,Hobart,AU,2020-02-23 14:36:21,-42.88,147.33,57.2,82,99,4.7
85,Pisco,PE,2020-02-23 14:40:10,-13.7,-76.22,75.0,30,40,5.82
86,Tripoli,LY,2020-02-23 14:39:14,32.88,13.19,58.41,58,0,3.96
87,Tahta,EG,2020-02-23 14:40:11,26.77,31.5,68.0,32,100,6.93
88,Noumea,NC,2020-02-23 14:39:40,-22.28,166.46,81.0,69,76,3.36
89,Kargopol,RU,2020-02-23 14:40:12,61.51,38.95,33.51,86,100,10.87
90,Dingtao,CN,2020-02-23 14:40:13,35.07,115.56,53.89,72,65,9.17
91,Riyadh,SA,2020-02-23 14:36:26,24.69,46.72,82.4,30,64,9.17
92,Lorengau,PG,2020-02-23 14:40:13,-2.02,147.27,83.64,71,0,7.43
93,Ilulissat,GL,2020-02-23 14:40:14,69.22,-51.1,-0.4,44,0,4.7
94,Bredasdorp,ZA,2020-02-23 14:40:14,-34.53,20.04,75.99,40,0,19.46
95,Chuy,UY,2020-02-23 14:40:15,-33.7,-53.46,72.36,56,35,3.49
96,Kruisfontein,ZA,2020-02-23 14:40:15,-34.0,24.73,66.09,58,17,15.08
97,Bambous Virieux,MU,2020-02-23 14:40:15,-20.34,57.76,82.4,78,75,4.7
98,Ilhabela,BR,2020-02-23 14:40:16,-23.78,-45.36,75.63,62,90,7.65
99,Mogadishu,SO,2020-02-23 14:40:16,2.04,45.34,81.36,81,41,25.64
100,Parthenay,FR,2020-02-23 14:40:17,46.67,-0.42,53.6,81,90,17.22
101,Naze,JP,2020-02-23 14:40:17,28.37,129.48,59.0,67,0,9.17
102,Ponta Do Sol,PT,2020-02-23 14:40:18,32.67,-17.1,68.0,64,20,17.22
103,Wawa,NG,2020-02-23 14:40:18,9.9,4.42,97.32,19,0,6.44
104,Tuktoyaktuk,CA,2020-02-23 14:40:19,69.45,-133.04,-5.8,83,90,12.75
105,Atuona,PF,2020-02-23 14:40:19,-9.8,-139.03,80.65,81,1,12.73
106,Fortuna,US,2020-02-23 14:40:20,40.6,-124.16,48.0,100,90,0.87
107,Umm Kaddadah,SD,2020-02-23 14:40:20,13.6,26.69,86.77,9,0,14.76
108,Nyurba,RU,2020-02-23 14:40:21,63.28,118.33,-8.27,98,52,3.24
109,Yarmouth,US,2020-02-23 14:40:21,41.71,-70.23,46.99,48,1,9.17
110,Hobyo,SO,2020-02-23 14:40:22,5.35,48.53,78.33,68,14,18.72
111,Pacific Grove,US,2020-02-23 14:37:21,36.62,-121.92,51.8,81,90,6.93
112,Cabedelo,BR,2020-02-23 14:37:31,-6.98,-34.83,89.6,55,40,6.93
113,Andenes,NO,2020-02-23 14:40:23,69.31,16.12,37.4,80,75,11.41
114,Boden,SE,2020-02-23 14:40:24,65.83,21.69,35.6,59,76,16.11
115,Launceston,AU,2020-02-23 14:40:04,-41.45,147.17,59.0,100,67,2.66
116,Santa Marta,CO,2020-02-23 14:40:25,11.24,-74.2,82.4,74,20,4.7
117,Kamenka,RU,2020-02-23 14:40:25,51.32,42.77,33.01,92,100,13.0
118,Batemans Bay,AU,2020-02-23 14:40:26,-35.72,150.18,62.01,84,96,4.76
119,Flinders,AU,2020-02-23 14:40:26,-34.58,150.86,71.01,77,100,3.36
120,Samarai,PG,2020-02-23 14:40:27,-10.62,150.67,77.92,89,1,1.99
121,Port Alfred,ZA,2020-02-23 14:40:27,-33.59,26.89,71.01,73,25,1.99
122,Berlevag,NO,2020-02-23 14:40:27,70.86,29.09,34.09,77,97,3.78
123,Price,US,2020-02-23 14:36:01,39.6,-110.81,34.0,96,90,4.7
124,Valleyview,CA,2020-02-23 14:40:29,55.07,-117.29,11.39,87,7,3.04
125,Tabou,CI,2020-02-23 14:40:29,4.42,-7.35,84.92,81,96,5.32
126,Shubarkuduk,KZ,2020-02-23 14:40:29,49.14,56.49,24.39,91,100,11.39
