City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
51,51,Qaanaaq,GL,2020-02-24 02:58:23,77.48,-69.36,-17.82,59,0,6.38,clear sky,0.0,0.0
52,52,Barrow,US,2020-02-24 02:58:23,71.29,-156.79,-23.8,74,40,13.87,scattered clouds,0.0,0.0
53,53,Aguai,BR,2020-02-24 02:58:24,-22.06,-46.98,68.0,88,20,5.82,few clouds,0.0,0.0
54,54,Fort Nelson,CA,2020-02-24 02:58:24,58.81,-122.7,23.0,57,75,3.36,broken clouds,0.0,0.0
55,55,Mataura,NZ,2020-02-24 02:53:55,-46.19,168.86,66.99,58,10,15.01,clear sky,0.0,0.0
56,56,Moree,AU,2020-02-24 02:58:25,-29.47,149.85,78.8,61,90,2.24,overcast clouds,0.0,0.0
57,57,Salamanca,ES,2020-02-24 02:58:25,40.83,-6.0,28.4,92,0,3.36,clear sky,0.0,0.0
58,58,Chapais,CA,2020-02-24 02:58:26,49.78,-74.85,26.6,86,75,10.29,broken clouds,0.0,0.0
59,59,Linkuva,LT,2020-02-24 02:58:26,56.09,23.97,35.6,93,90,12.75,overcast clouds,0.0,0.0
60,60,Kailua,US,2020-02-24 02:58:27,21.4,-157.74,82.4,69,90,10.29,overcast clouds,0.0,0.0
61,61,Grand Gaube,MU,2020-02-24 02:58:27,-20.01,57.66,75.99,94,20,3.36,few clouds,0.0,0.0
62,62,Mahibadhoo,MV,2020-02-24 02:58:28,3.78,72.97,82.96,78,68,18.19,light rain,0.19,0.0
63,63,Lorengau,PG,2020-02-24 02:58:28,-2.02,147.27,83.8,69,74,2.26,broken clouds,0.0,0.0
64,64,Balad,IQ,2020-02-24 02:58:28,34.02,44.15,58.32,60,100,8.81,overcast clouds,0.0,0.0
65,65,Chuy,UY,2020-02-24 02:58:29,-33.7,-53.46,63.9,74,52,10.13,broken clouds,0.0,0.0
66,66,Atuona,PF,2020-02-24 02:58:29,-9.8,-139.03,81.27,78,22,12.55,few clouds,0.0,0.0
67,67,Albany,US,2020-02-24 02:58:30,42.6,-73.97,35.01,58,1,3.29,clear sky,0.0,0.0
68,68,Bluff,NZ,2020-02-24 02:58:30,-46.6,168.33,66.99,58,13,15.01,few clouds,0.0,0.0
69,69,Roma,US,2020-02-24 02:54:41,43.21,-75.46,39.99,73,1,11.81,clear sky,0.0,0.0
70,70,Klyuchi,RU,2020-02-24 02:58:31,52.27,79.17,12.87,95,76,3.69,broken clouds,0.0,0.0
71,71,Yulara,AU,2020-02-24 02:58:31,-25.24,130.99,93.2,15,0,12.75,clear sky,0.0,0.0
72,72,Road Town,VG,2020-02-24 02:58:32,18.42,-64.62,78.8,74,40,6.93,scattered clouds,0.0,0.0
73,73,La Orilla,MX,2020-02-24 02:58:32,17.98,-102.23,73.4,84,0,1.07,clear sky,0.0,0.0
74,74,Bilma,NE,2020-02-24 02:58:33,18.69,12.92,56.25,36,99,13.27,overcast clouds,0.0,0.0
75,75,Elizabeth City,US,2020-02-24 02:58:33,36.29,-76.25,50.0,70,1,8.05,clear sky,0.0,0.0
76,76,Acarau,BR,2020-02-24 02:58:33,-2.89,-40.12,75.42,96,4,3.02,clear sky,0.0,0.0
77,77,Oranjemund,,2020-02-24 02:58:34,-28.55,16.43,77.9,25,0,7.85,clear sky,0.0,0.0
78,78,Chicama,PE,2020-02-24 02:58:35,-7.84,-79.15,75.2,83,75,6.93,mist,0.0,0.0
79,79,Mar Del Plata,AR,2020-02-24 02:58:35,-38.0,-57.56,66.0,82,0,9.17,clear sky,0.0,0.0
80,80,Pimentel,PE,2020-02-24 02:58:36,-6.84,-79.93,66.2,29,90,9.17,overcast clouds,0.0,0.0
